,per,pbr,roe,revenue_growth
MIXT,24.63,1.84,7.38,-24.2
MFG,30.14,0.38,4.7,6.8
MBT,10.45,20.47,151.5,1.3
MODN,NA,10.25,-18.11,18.9
MOD,30.1,0.75,-3.58,-34.3
MC,26.64,5,30.57,4.2
MOGU,NA,0.96,-74.49,-46.8
MHK,15.4,0.93,6.13,-20.7
MOH,16.24,6.26,42.71,7.5
TAP,45.15,0.59,-1.1,-15.1
MNR,28.31,2.36,0.26,8.4
MR,2.06,0.2,-3.89,-41.7
MEG,NA,NA,NA,28.5
MCO,31.82,52.37,192.09,18.2
MS,8.76,1.16,11.17,30.9
MOS,NA,0.87,-11.87,-6.1
MSI,35.67,NA,NA,-13
MOV,5.9,0.68,-30.79,-43.9
MPLX,12.33,1.26,-17.6,-6.3
MRC,74,1.11,-31.92,-38.8
MSA,37.38,7.68,21.44,-10.1
MSM,13.96,2.86,19.3,-3.6
MSCI,59.55,NA,NA,6.2
MSGN,3.15,NA,NA,-9.7
MLI,14.46,2.55,18.98,-24.9
MWA,20.72,2.9,14.53,-16.7
MUR,34.92,0.3,-15.4,-58
MUSA,10.33,4.03,43.24,-39.5
MVO,2.91,2.55,82.69,21.6
MYE,14.53,2.89,20.96,-11.8
MYOV,NA,NA,NA,NA
NBR,NA,0.14,-37.26,-30.8
NC,5.22,0.5,10.1,-14.5
NTP,NA,1.53,-6.95,11.4
NBHC,12.49,1.17,9.89,8.6
NFG,52.92,1.73,3.16,-9.6
NGG,25.46,1.68,6.54,-3.9
NHI,15.83,1.81,13.02,6.7
NOV,NA,0.61,-39.52,-29.8
NPK,12.36,1.68,13.78,21.4
NNN,26.5,1.5,5.9,-0.7
SID,14.85,6.42,-6.76,-9.9
NSA,282.58,3.35,4.8,11.4
NGS,NA,0.5,-3.9,-12.5
NGVC,15.64,1.61,10.82,18.1
NRP,3.82,0.41,-38.4,-51.9
NTZ,NA,0.39,-33.73,-33.2
NWG,33.16,0.31,1.65,-78.3
NLS,NA,7.87,-8.42,93.5
NVGS,NA,0.51,-1.05,12.1
NNA,NA,0.2,-5.15,91.6
NM,NA,0.27,-83.73,-14.4
NMM,164.98,0.1,-9.88,-2.5
NAV,17.29,NA,NA,-44.9
NCR,6.5,2.58,38.79,-13.2
NP,17.22,1.85,-0.97,-36.3
NNI,21.91,1.1,5.22,36.9
NPTN,19.74,1.86,10.01,26.3
NSCO,NA,0.45,NA,9
NTST,NA,2.13,NA,26.4
NVRO,NA,13.97,-33.87,-39.7
NFH,NA,0.88,NA,NA
NWHM,NA,0.51,-18.51,-39.2
EDU,69.58,8.67,10.41,-8
NEWR,NA,10,-27.92,15.3
NRZ,3.89,0.76,-17.85,143.1
SNR,37.82,1.59,4.24,-2.2
NYC,NA,0.37,-5.62,12.3
NYCB,10.8,0.64,6.07,4
NYT,54.25,6.18,12.19,-7.6
NJR,15.98,1.49,9.89,-31.3
NEU,18.11,6.32,36.88,-27.1
NEM,11.93,2.3,18.64,4.8
NR,NA,0.15,-10.6,-52.9
NEXA,NA,0.6,-38,-45.1
NREF,NA,0.88,NA,148.8
NXRT,8.83,3.05,39.44,17.7
NEP,NA,2.22,-11.78,15.5
NEE,42.21,4.04,7.66,-15.4
NEX,NA,0.58,-44.8,-54.1
NGL,NA,0.26,-10.28,-54.9
NLSN,NA,2.46,-23.68,-8.1
NKE,75.74,21.78,29.2,-0.6
NINE,NA,0.61,-163.12,-77.8
NIO,NA,NA,"-1,711.88",146.5
NI,49.48,1.88,-1.06,-4.7
NL,21.61,0.8,4.01,-29.4
NOAH,13.92,1.69,11.53,-14.2
NOK,31.69,1.27,4.27,-10.6
NOMD,22.83,1.68,7.74,11.4
NMR,5.09,0.53,11.04,38.8
OSB,260.58,3.68,1.25,-5.8
NAT,5.83,0.82,14.37,67.2
JWN,9.24,11.68,-97.96,-51.9
NSC,27.21,3.76,13.89,-28.7
NOA,5.36,1.07,23.63,-60
NRT,6.25,65.34,"1,812.60",-34.9
NOC,22.09,5.41,25.33,5.1
NWN,22.79,1.61,7.15,9.3
NCLH,6.65,1.02,-38.6,-99
NVS,27.19,3.63,13.68,-3.3
NVO,25.46,17.32,73.24,-0.1
DNOW,NA,0.74,-48.73,-52.3
NRG,2.09,4.75,"7,059.50",-9.2
NUS,20.62,3.56,17.92,-1.8
NUE,29.54,1.46,5.77,-26.6
NS,35.28,0.6,0.59,-8.8
NTR,27.55,1,3.58,-3.5
NVT,22.08,1.28,5.86,-17.1
NVR,21.37,6.3,34.65,-10.2
OSH,NA,NA,NA,69.5
OAC,NA,NA,NA,NA
OXY,NA,0.69,-47,-33.8
OII,NA,0.66,-68.62,-13.8
OCN,NA,0.58,-7.35,-17.2
OFG,31.27,0.76,2.87,28.7
OGE,18.03,1.77,-3.16,-2
OI,NA,3.37,-102.47,-19.2
OIS,NA,0.24,-57.95,-44.7
ODC,13.83,1.85,13.22,-7.5
ORI,17.66,0.82,4.62,19.8
OLN,11.39,1.24,-9.4,-22.1
OHI,17.88,1.77,9.69,13.8
OMC,12.23,4.67,32.58,-24.7
ONDK,3.25,0.5,NA,NA
OGS,21.03,1.77,8.63,-5.9
OLP,17.04,1.21,6.96,0.8
OCFT,NA,12.25,-46.56,48.4
OMF,7.73,1.52,17.23,-19.8
OKE,20.01,2.12,9.88,-32.4
ONE,49.22,9.13,-61.63,-31.9
ONTO,542.5,1.36,-1.02,119.4
OOMA,NA,9.68,-32.33,10.9
OPY,6.3,0.53,9.42,10.1
ORCL,19.02,19.13,70.3,1.6
ORAN,9.74,0.79,9.21,1
ORC,14.05,1.04,-9.15,711
OEC,21.19,5.98,27.33,-49.2
ORN,10.16,0.67,6.48,10.7
IX,6.07,0.61,9.62,-2
ORA,47.02,2.52,5.5,-5
OSK,14.77,1.97,13.96,-33.9
OR,NA,1.67,-12.83,-69
SFTW,NA,1.3,NA,NA
OTIS,35.51,NA,NA,-9.6
OUT,78.28,2.08,2.58,-49.4
OSG,4.93,0.49,10.96,29.5
OVV,3.13,0.43,-48.07,-44.6
OMI,NA,4.81,-2.39,-23.9
OC,14.39,2.26,-14.75,-15.3
OXM,13.96,1.72,-11.76,-36.4
PACD,NA,0.02,-45.84,-49.1
PCG,NA,5.88,-94.99,15
PKG,22.15,3.62,16.99,-12.4
PD,NA,7.09,-15.93,25.7
PAGS,52.9,8.4,17.47,57.4
PANW,NA,21.55,-19.87,17.9
PAM,0.04,0.42,7.63,-3.6
PHX,NA,0.65,-81.11,-64.2
PARR,18.14,1,-59.19,-63.4
PAR,NA,12.14,-50.84,3.3
PGRE,NA,0.4,-0.93,-8.7
PKE,26.93,1.66,5.71,-32.6
PK,11.44,0.44,-14.95,-95.2
PH,23.99,4.69,19.95,-14.1
PE,11.3,1.15,-76.29,-55.8
PSN,31.59,2.04,70.93,-1
PRTY,NA,0.24,-262.28,-54.8
PAYC,124.47,37.56,34.52,7.2
PBF,3.51,0.33,-15.43,-61.6
PBFX,4.04,4.25,113.59,7.7
BTU,NA,0.17,-96.75,-45.5
PSO,15.92,0.98,6.27,-18.4
PEB,11.29,0.48,-1.1,-94.9
PBA,16.44,0.94,6.84,-29.9
PEI,NA,0.14,-6.8,-32.5
PFSI,5.81,1.95,43.82,125.9
PMT,8.9,0.85,-0.07,160.7
PAG,14.25,1.6,11.52,-36.6
PNR,24.83,4.25,18.14,-10.8
PEN,737.93,12.37,1.54,-21.7
PFGC,29.14,2.58,-6.9,-2.1
PKI,47.16,4.67,10.37,12.3
PBT,5.85,278.14,"4,403.75",-48.7
PVL,2,0.27,12.98,-6.6
PRT,4.64,0.28,5.9,-88
PRGO,27.07,1.09,4.13,6.1
PRSP,43.24,2.44,-40.54,0.1
PTR,24.21,0.29,0.32,-30.2
PBR,9.95,1.03,-16.03,-26.6
PFE,15,3.28,22.81,-11
PGTI,30.39,2.42,8.36,2.1
PM,16.95,NA,NA,-13.6
PSX,94.9,1.11,-3.52,-60.8
PSXP,5.86,1.94,33.38,-8.4
FENG,0.77,0.28,30.4,-21
DNK,NA,13.75,-599.19,62.5
PHR,2.28,12.75,-18.54,13.6
DOC,39.33,1.41,3.51,14.8
PDM,4.53,0.86,20.38,3
PING,NA,4.04,-0.89,-5.6
PNW,15.23,1.66,11.29,6.9
PINS,81.59,13.88,-20.22,4.3
PXD,35.82,1.26,3.6,-52
PIPR,28.71,2.01,4.52,69.6
PBI,13.78,24.3,-421.24,6.2
PIC,NA,NA,NA,NA
PJT,42.15,20.78,21.52,39.5
PAA,2.69,0.51,-16.94,-60.9
PAGP,6.89,0.86,-14.31,-60.9
PLNT,159.02,NA,NA,-79
PLT,NA,0.82,-329.88,-20.6
AGS,NA,1.63,-59.66,-77.5
PHI,12.14,2.39,18.13,4.2
PLYM,NA,2.83,-6.52,53.5
PNC,18.02,0.87,6.85,-1.9
PNM,20.82,2.17,11.14,8.3
PII,22.28,7.92,-6.26,-14.6
POR,14.15,1.26,9.1,2
PKX,17.36,0.37,2.22,-15.9
POST,70.98,2.16,-3.25,-7.1
PSTL,NA,2.93,-3.41,133
PPG,32.4,6.68,20.15,-25.1
PPL,12.41,1.68,13.88,-3.5
PQG,27.91,0.99,3.6,-16.7
PDS,75.6,0.17,-3.85,-47.2
APTS,NA,0.16,-11.39,8.6
PBH,12.09,1.48,13.06,-1.2
PVG,37.69,2.46,6.74,47.1
PRI,13.24,2.79,22.53,4.5
PRMW,NA,1.67,-11.19,0.3
PRA,1.27k,0.55,-5.38,-7.5
PG,29.11,7.88,27.74,3.5
PGR,11.3,3.16,31.42,14.9
PLD,41.05,2.39,6.06,57.4
PUMP,20.5,0.48,2.53,-80
PRO,NA,12.61,-69.82,-0.2
PROS,11.03,0.89,9.03,-5.8
PB,11.28,0.87,8.53,49.3
PRLB,67.02,6.46,10.1,-8.1
PFS,9.76,0.61,6.18,-11.6
PRS,NA,NA,NA,NA
PRU,8.85,0.4,-0.17,-21.3
PUK,28.02,1.92,5.99,NA
PSB,32.56,4.19,11.02,-6.7
TLK,14.6,2.89,25.18,-5.3
PEG,17.08,1.91,11.5,-11.5
PSA,33.36,8.4,16.06,-0.4
PHM,11.55,2.24,21.27,4.2
PSTG,NA,6.32,-25.64,1.9
NEW,NA,14.07,-23.44,-5
PVH,8.17,1.03,-19.3,-33.1
PZN,24.04,17.44,31.63,-20.4
QTWO,NA,8.08,-20.77,25.7
QEP,1.54,0.08,5.55,-59.3
QGEN,901.17,4.72,0.68,16.2
QTS,NA,2.75,1.48,10.3
QUAD,NA,1.04,-23.33,-38.4
KWR,78.9,2.96,-4.15,38.9
NX,NA,1.91,-4.17,-11.1
PWR,24.54,2.18,9.71,-11.7
QD,1.46,0.2,7.54,-48.1
DGX,21.44,2.72,13.69,-6.5
QUOT,NA,2.88,-19.66,-20.3
RRD,NA,NA,NA,-23
RMED,NA,0.7,-114.06,-58.2
RDN,8.03,0.84,11.46,-7.7
RFL,NA,2.24,-5.81,-11.1
RL,42.49,2.14,5.01,-65.9
RRC,NA,0.95,-56.29,-41.7
RNGR,18.64,0.4,-3.57,-63.6
PACK,37.14,1.59,-3.66,16.8
RJF,12.86,1.57,12.87,-8.7
RYAM,NA,0.4,-16.59,-11.9
RYN,83.97,2.6,3.32,5.9
RTX,43.18,1.4,1.13,24.1
RMAX,36.31,2.24,34.71,-26.9
RC,25.64,0.82,2.12,176.2
RLGY,NA,0.8,-26.25,-27.5
O,41.38,2.01,5.05,13.5
RLH,NA,0.39,-17.11,-64.6
RBAC,NA,NA,NA,NA
RWT,11.7,0.97,-55.55,222
RBC,25.69,1.77,6.88,-27.4
RM,8.36,0.92,10.69,8.2
RF,18.89,0.75,4.36,-50.7
RGS,NA,2.01,-76.54,-75.8
RGA,11.62,0.56,4.88,4
RS,16.17,1.46,9.56,-30
RELX,25.84,15.75,58.77,-10
RNR,13.86,1.3,9.04,26.6
SOL,8.68,2.31,-10.41,93
RENN,NA,1.01,-70.21,-36.8
RPLA,74.04,1.29,NA,NA
RSG,28.35,3.62,13.11,-5.8
REZI,33.66,0.97,-6.35,-17.1
RMD,42.34,10.49,27.21,9.3
RFP,1.54,0.36,-7.65,-18.9
QSR,27.55,7.79,25.5,-25.1
RPAI,574,0.77,0.18,-18.3
RVI,13.13,0.36,2.04,-33.3
REVG,NA,1.13,-6.02,-5.6
REV,NA,NA,NA,-39
RVLV,27.06,8.44,27.68,-11.8
REX,79.58,1.17,-1.33,-62.9
REXR,107.39,2.31,2.54,24.2
RXN,23.59,2.87,12.88,-11.6
RH,45.26,59.18,NA,0.4
RNG,NA,45.98,-21.9,29.2
RIO,13.74,1.92,17.04,-6.6
RBA,45.65,7.68,17.56,-1.1
RAD,NA,0.9,-48.23,11.5
RLI,32.94,3.61,11.59,25.3
RLJ,20.58,0.56,-2.54,-92.9
RMG,93.55,1.31,NA,NA
RHI,17.8,5.63,32.32,-26.9
RKT,11.04,7.92,NA,424.8
ROK,37.38,37.24,68.36,-16.3
RCI,13.73,2.64,18.01,-16.5
ROG,88.08,2.05,2.41,-21.3
ROL,91.95,22.7,26.43,5.6
ROP,28.17,4.56,17.64,-1.9
RST,NA,NA,NA,7.1
RY,12.41,1.74,13.51,10.1
RCL,57.31,1.7,-17.54,-93.7
RES,NA,0.91,-35.41,-75.1
RPM,30.9,8.06,27.12,9.1
RPT,6.19,0.61,9.62,-20.8
RYB,NA,1.41,-51.66,-76.2
R,NA,1.25,-13.74,-15.6
RYI,10.44,1.82,18.66,-35.9
RHP,23.4,5.68,-28.46,-96.8
SPGI,32.75,398.74,108.32,14
SBR,10.3,69.96,832.06,-5.3
SB,26,0.24,-3.2,6.1
SFE,7.37,1.69,-29.18,NA
SAFE,67.81,2.75,5.09,94
SAIL,1.15k,9.33,0.9,46.6
CRM,103.42,6.12,8.51,28.9
SBH,10.14,651.11,NA,-27.7
SJT,24.88,25.41,98.21,-59.8
SD,NA,0.41,-130.93,-77.9
SC,24.93,1.25,4.54,-37.9
SAP,34.82,5.48,16.2,1.7
SSL,NA,0.51,-47.41,-9.4
BFS,20.68,3.46,13.12,-8.5
SCPE,186.15,1.36,NA,NA
SLB,NA,1.89,-89.58,-35.2
SNDR,27.23,1.97,7.39,-14.8
SWM,11.31,1.72,15.58,-5.8
SAIC,23.28,3.24,14.72,10.7
SALT,4.39,0.23,-18.61,-48.4
STNG,4.51,0.31,7.87,129.6
SMG,28.63,9.16,36.17,27.5
SCU,15.22,NA,-33.47,-2.3
SCVX,NA,NA,NA,NA
SE,NA,95.76,-99.71,102.2
SA,NA,3.8,-3,NA
CKH,48.65,0.79,1.54,-12.4
SMHI,NA,0.11,-11.55,-20.7
SEE,15.94,NA,NA,-0.8
SEAS,18.85,194.62,-161.66,-95.6
WTTR,196.33,0.61,-37.06,-71.5
SEM,18.31,3.09,12.86,-9.4
SLQT,34.08,5.76,20.06,90.1
SRE,17.71,1.82,11.05,13.3
ST,84.45,2.98,3.53,-34.8
SXT,40.63,3.12,7.54,-4.7
SQNS,NA,NA,NA,51
SRG,NA,1.02,-8.04,-32.9
SCI,20.05,4.43,23.19,0.9
NOW,141.11,40.29,38.95,28.4
SFL,14.77,0.98,-4.57,6
SHAK,99.02,6.89,-2.6,-39.9
SJR,17.72,1.89,10.89,-0.8
SHLX,6.29,NA,NA,-0.8
SHW,36.62,16.43,45.76,-5.6
FOUR,NA,18.28,NA,-21.4
SHG,4.05,0.34,8.24,-3.3
SHOP,NA,28.39,-1.99,97.3
SSTK,66.35,6.37,10.07,-1.6
SIG,NA,1.3,-7.84,-34.9
SBOW,0.3,0.59,-124.85,-66.7
SI,14.99,1.13,8.33,8.7
SPG,11.39,9.98,65.88,-23.9
SSD,26.66,4.73,18.39,7
SHI,7.2,0.52,-2.24,-34
SITC,31.74,0.86,3.93,-18.6
SITE,59.02,12.97,24.4,8.7
SIX,9.91,NA,NA,-96
SJW,67.57,1.96,2.92,43
SKM,17.66,0.73,4.17,3.7
SKX,34.81,2.32,7.99,-42.1
SKY,29.5,3.14,11.44,-26.5
SLG,16.54,0.71,4.19,-17.7
WORK,NA,21.66,-40.14,48.9
SM,19.6,0.08,-22.07,-58.2
SMAR,NA,13.39,-21.36,41.1
SNN,44.04,3.47,7.89,-18.1
SNAP,NA,18.63,-51.03,17
SNA,15.23,2.47,17.37,-21.9
SNOW,NA,87.87,NA,120.7
IPOB,NA,NA,NA,NA
IPOC,NA,NA,NA,NA
SQM,40.8,4.39,10.62,-7.2
SOGO,55.44,3.4,3.06,-14
SOI,6.07,1.41,0.5,-85.4
SWI,218.43,2.46,1.16,7.5
SAH,7.82,2.26,-11.44,-19.2
SON,20.69,3.11,14.9,-8.4
SNE,14.82,2.23,14.72,2.2
SOS,NA,7.86,-330.58,-19.2
SJI,17.99,1.21,6.57,-2.6
SO,19.02,2.21,10.05,-9.4
SCCO,31.41,5.38,17.21,-1.8
LUV,116.71,2.15,1.57,-82.9
SWX,17.69,1.42,8.13,6.2
SWN,0.76,2.06,-116.16,-38.5
SPAQ,99.86,1.76,NA,NA
SR,49.52,1.27,2.86,-0.1
SPR,11.15,1.6,-16.06,-68
SAVE,230,0.67,-0.34,-86.3
SRC,52.67,1.1,2.24,2.4
SPOT,NA,19.73,-15.88,13.3
SRLP,20.73,4.7,23.69,-45.9
SII,50.62,3.07,6.23,89.6
SPXC,21.45,4.06,20.39,0.2
FLOW,55.82,2.02,3.66,-20.1
SQ,286.69,42.91,19.48,63.8
JOE,47.44,2.86,5.96,1.5
STAG,44.59,2.1,5.11,21.7
SMP,18.78,2.05,11.42,-18.8
SXI,18.99,1.68,8.86,-17.4
SWK,33.71,3.33,8.81,-16.3
STN,24.46,2.21,9.39,-0.3
SGU,9.14,1.38,16.87,-18.1
SRT,NA,1.08,-14.96,-11.5
STWD,11.43,0.97,8.49,-12.3
STT,10.71,1.05,9.84,0.5
SPLP,65,0.35,-16.13,-23.4
SCS,10.48,1.47,15.11,-18
SCL,24.05,2.86,12.67,-2.6
STE,39.35,4.62,12.21,-4
STL,7.18,0.46,6.58,-26.1
STC,10.46,1.59,15.83,9.3
SF,11,1.22,11.81,9.8
STM,31.77,4.3,4.79,-4
STON,NA,NA,NA,-9.9
SRI,9.4,2.43,-2.78,-55.2
STOR,24.12,1.5,6.21,2.8
SYK,52.81,6.55,12.96,-24.3
MSC,29.68,1.74,-15.95,NA
RGR,25.38,3.76,15.99,35.2
SPH,21.32,2.54,10.88,-3.4
SMFG,19.21,0.37,0.86,-8.9
INN,14.05,0.52,-4.16,-82.2
SUM,21,1.53,7.67,5
SMLP,NA,0.06,-27.45,-7.8
SUI,105.06,3.3,3.49,-3.3
SLF,13.93,1.45,9.66,49.7
SXC,NA,0.64,-24.26,-17.1
SU,18.68,0.65,-13.26,-58
STG,NA,NA,NA,-7.3
NOVA,NA,3.65,-21.24,23.6
SUN,20.87,3.37,25.48,-53.5
SHO,19.22,0.83,-8.11,-96.6
SUP,NA,0.23,-103.66,-58.9
SOAC,NA,NA,NA,NA
SUZ,38.08,26.61,-154.13,20
SWCH,145.27,16.09,5.07,13.3
SBE,NA,NA,NA,NA
SYF,8.9,1.52,15.93,-52.2
SNX,15.68,1.87,12.74,4.2
SNV,9.53,0.8,8.55,-14.1
SYY,158.52,29.26,11.55,-42.7
SYX,18.99,6.13,31.96,-2.6
TSM,28.46,7.67,27.79,28.9
TAK,46.6,1.19,2.5,-5.6
TAL,337.48,18.48,-1.12,35.2
TALO,4.32,0.4,7.92,-68.5
SKT,12.89,1.89,-9.35,-45.4
TPR,10.84,2.27,-22.53,-52.8
TRGP,NA,1.32,-20.63,-23.6
TGT,23.95,6.59,28.78,24.7
TARO,10.6,1.35,-14.89,-27.1
TTM,NA,0.79,NA,-48
TCO,14.9,NA,NA,-26.7
TMHC,19.21,1.06,5.47,20.6
TRP,12.41,1.88,14.31,-8.4
TCP,8.21,3.16,39.28,0.8
TEL,41.92,3.91,-1.12,-24.8
TISI,NA,0.85,-68.33,-40.1
FTI,NA,0.77,-78.93,-8
TECK,7.12,0.45,-8.68,-45.2
TK,NA,0.42,4.72,4.4
TGP,8.34,0.55,7.91,-3.2
TNK,1.49,0.31,23.18,19.1
TGNA,11.2,1.58,15.02,7.6
TRC,44.61,0.9,1.99,-46.6
TDOC,NA,14.18,-8.24,85
TEO,79.58,0.69,-3.66,-1.5
TDY,31.03,4.19,14.88,-4.9
TFX,35.96,5.49,16.64,-13.1
VIV,17.21,1.04,6.49,-5.1
TEF,54.57,1.29,2.48,-14.7
TDS,13.04,0.44,3.65,0.2
TU,20.54,2.56,12.94,1.9
TPX,25.46,20.44,73.15,-8
TS,13.88,0.52,-3.97,-35.3
TME,40.95,3.27,8.62,17.5
THC,NA,NA,13.22,-20
TNC,26.03,3.14,12.76,-28.6
TEN,NA,9.71,-109.72,-41.5
TDC,20.95,6.86,32.54,-4.4
TEX,40.75,2.08,5.18,-47.2
TMX,84.43,2.77,3.27,8.1
TX,18.66,0.62,2.94,-36.7
TRNO,55.54,2.58,4.84,9.6
TTI,NA,8.19,-83.84,-33.4
TEVA,941,0.74,-1.03,-7.3
TPL,17.44,7.9,50.01,-37.5
TGH,15.94,0.62,4.06,-11
TXT,22.29,1.5,6.94,-23.4
AES,71.07,5.38,7.96,-10.7
AZEK,NA,4.6,NA,1.1
BK,8.06,0.84,10.3,-1.7
BX,49.8,6.82,6.73,73.1
SCHW,18.19,2.88,12.54,-8.6
COO,63.27,5.02,7.54,-14.9
THG,12.79,1.18,9.91,2.1
TRV,16.02,1.06,7,-5.5
TMO,50.28,6.15,12.65,9.5
THR,91.85,1.13,1.24,-38
TPRE,4.02,0.56,-3.27,29.1
TRI,26.44,4.42,17.07,-1.3
THO,23.69,2.27,9.97,0.5
TDW,NA,0.28,-23.29,-18.7
TIF,60.45,4.66,7.72,-28.7
TLYS,356,1.43,0.33,-16
TSU,16.3,1.36,NA,NA
TKR,14.27,2.39,17.61,-19.6
TMST,NA,0.33,-24.12,-54.3
TWI,NA,1.11,-28.61,-26.7
TJX,102.52,14.77,14.28,-31.8
TOL,14.81,1.31,9.26,-6.5
TR,32.82,2.77,8.53,-24.6
BLD,30.75,5.13,17.57,-2.1
TTC,31.79,8.8,31.17,0.3
TD,11.67,1.26,10.74,-13.9
TOT,12.68,0.86,-2.63,-52.3
TSQ,NA,0.98,-71.26,-34.5
TM,12.13,0.93,7.62,-39.8
TRTX,11.34,0.51,-8.45,29.9
TT,27.86,5.27,17.65,-13.2
TAC,29.84,1.2,4.76,-12.1
TCI,2.29,0.65,-3.84,-3.3
TDG,47.08,NA,NA,-32.8
RIG,NA,0.04,-14.89,22.7
TGS,6.52,0.96,18.19,-25.9
TRU,53.85,7.75,14.68,-4.2
TREB,NA,NA,NA,NA
TREC,NA,1.14,-7.11,-41.4
TG,175.11,1.51,0.78,-11.9
THS,NA,1.24,-4.28,1.6
TREX,54.59,18.15,37.5,6.9
TPH,9.88,1.15,12.63,10.2
TRNE,NA,1.37,NA,NA
TNET,15.17,7.61,60.66,1.4
TRN,109.05,1.3,-2.34,-30.8
TSE,52.13,2.55,-22.68,-40.1
GTS,10.9,0.48,4.69,2.1
TRTN,9.16,1.3,13.29,-6.5
TGI,NA,NA,NA,-32.2
TROX,133.86,2.23,2.29,-26.9
TBI,9.01,1.56,-23.99,-39
TFC,14.41,0.91,7.1,75.2
TNP,11.61,0.11,3.96,32.5
TUFN,NA,3.51,-46.59,-8.2
TUP,1.25,NA,NA,-16.4
TKC,10.97,1.85,17.79,11.8
TPB,96.7,5.49,6.09,12.5
TRQ,4.58,0.17,3.11,-27.4
TPC,NA,0.46,0.51,13.4
TWLO,NA,11.2,-8.65,45.7
TRWH,32.17,4.96,-4.28,-79.8
TWTR,21.91,4.75,-15.39,-18.8
TWO,4.82,0.78,-41.6,15.7
TYL,86.63,8.77,11.6,-1.5
TSN,12.17,1.48,12.54,-7.9
USB,12.96,1.27,9.23,-3.3
USPH,35.95,4.34,11.4,-33.6
SLCA,NA,0.35,-51.25,-56.3
USX,NA,2.27,-4.69,2.1
UBER,NA,6.29,-52.73,-29.2
UI,33.07,NA,NA,10.1
UBS,9.3,0.72,8.34,-1
UDR,56.3,3.12,4.92,9.5
UGI,15.78,1.73,9.42,-12.1
UGP,88.85,2.26,2.64,-26.8
UMH,NA,6.1,-0.08,7.7
UA,58.65,3.61,-39.5,-40.6
UAA,66.25,4.15,-39.5,-40.6
UFI,102.63,0.81,-16.15,-52.1
UNF,25.05,2.18,9.05,-1.8
UN,23.69,8.9,40.22,-1.6
UL,23,8.67,40.22,-1.6
UNP,25.31,8.41,32.14,-24.2
UIS,NA,NA,NA,-22.9
UMC,28.99,1.9,6.02,23.2
UNFI,NA,0.83,-19.19,4.9
UPS,34.63,34.47,99.49,13.4
URI,13.36,3.63,30.17,-15.3
USM,14.87,0.61,4.31,0
X,2.04,0.52,-43.49,-41
UNH,18.12,4.82,26.35,7.9
UTL,19.11,1.6,8.44,-0.6
U,NA,36.62,NA,42.5
UNVR,603,1.8,0.29,-22.3
UVV,14.11,0.86,6.39,6.4
UHT,41.2,4.88,11.13,-0.4
UHS,13.18,1.67,13.35,-4.4
UVE,39.69,0.86,1.65,8.1
UTI,69.88,1.07,4.99,-31.1
UNM,3.99,0.36,9.64,0.1
UE,9.35,1.26,14.15,-27.7
UBA,32.33,1.12,5.17,-16.3
UBP,30.37,1.05,5.17,-16.3
USFD,25.4,1.57,-0.7,-29.2
USAC,NA,1.15,-42.88,-2.9
USNA,15.63,4.74,29.87,1.2
USDP,26.09,3.75,-115.54,3.2
UTZ,136.62,4.92,NA,NA
VFC,108.31,10.14,8.1,-47.5
EGY,16.9,1.04,-63.76,-28.8
MTN,96.7,7.15,6.5,-68.4
VALE,44.72,1.68,2.18,12.3
VLO,15.71,0.83,7.3,-65.1
VHI,10.22,NA,6.55,-20.8
VMI,20.81,2.62,12.91,-1.7
VVV,16.69,NA,NA,-15.8
VAPO,NA,5.47,-55.96,193.3
VAR,59.72,8.11,14.23,-15.9
VGR,23.95,NA,NA,-22.4
VEC,15.98,1.75,11.71,1.3
VEDL,6.76,0.68,NA,-25.9
VEEV,148.67,23.61,19.32,32.5
VEL,4.75,0.46,5.86,8.5
VNTR,NA,0.33,-25.68,-21.1
VTR,38.82,1.55,3.82,-0.3
VNE,NA,1.47,-31.8,-62.4
VER,40.92,1.1,-7.56,-10.3
VRTV,NA,0.55,-2.02,-28.3
VZ,12.59,3.84,32.25,-5.1
VET,26.7,0.53,-76.18,-54.7
VRS,1.5,0.28,20.85,-55.5
VRT,82.92,17.16,NA,-11.3
VIAO,NA,NA,NA,3.9
VVI,41.84,2.91,-72.38,-92.3
VICI,25.74,1.42,5.33,16.8
VNCE,41.17,0.89,-8.14,-59.9
VIPS,21.08,3.29,20.29,6
SPCE,NA,13.33,-120.27,NA
VHC,1.49,1.77,233.36,-52.6
V,38.07,14.1,33.34,-17.2
VSH,26.88,1.71,6.47,-15.1
VPG,27.56,1.5,5.61,-16.5
VIST,NA,0.38,-15.51,-57.4
VSTO,NA,2.48,-18.07,4.2
VST,16.16,1.14,6.98,-11.4
VVNT,NA,NA,NA,8.9
VMW,41.13,8.11,23.49,9.2
VOC,2.77,1.22,20.69,-51.4
VCRA,NA,6.68,-9.79,5.8
VNO,20.18,1.16,2.53,-26.4
VOYA,14.96,0.65,4.37,-15.5
VMC,31.88,3.46,11.34,-0.4
WTI,1.71,NA,NA,-59.7
WPC,34.08,1.74,5.13,6.9
WRB,34.29,1.9,5.95,-4.3
GRA,52.83,9.11,15.8,-18.5
GWW,33.44,10.65,31.64,-1.9
WNC,6.53,1.92,-14.07,-45.8
WDR,12.78,1.52,11.77,-11.1
WD,9.62,1.69,19.14,25.7
WMT,22.77,5.37,22.9,5.6
DIS,51.22,2.67,-0.87,-41.9
